ingredient_class_count,ingredient_class_diversity,largest_ingredient_class_share,inggrp_meat_poultry_count,inggrp_seafood_count,inggrp_dairy_count,inggrp_eggs_count,inggrp_vegetables_count,inggrp_fruit_count,inggrp_grains_starches_count,inggrp_legumes_soy_count,inggrp_nuts_seeds_count,inggrp_herbs_spices_seasonings_count,inggrp_oils_fats_count,inggrp_sweeteners_chocolate_count,inggrp_sauces_condiments_count,inggrp_baking_additives_count,inggrp_beverages_alcohol_broth_count,prep_minutes,cook_minutes,total_minutes,log_prep_minutes,log_cook_minutes,log_total_minutes,description_word_count,title_word_count,direction_step_count,category_count,cuisine_count,ingredients_per_step,steps_per_ingredient,total_minutes_per_ingredient,description_words_per_step,publication_year,publication_month,carbs,fat,protein,log_calories,log_carbs,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calories_per_ingredient,rating_count,log_rating_count,inggrp_meat_poultry_present,inggrp_seafood_present,inggrp_dairy_present,inggrp_eggs_present,inggrp_vegetables_present,inggrp_fruit_present,inggrp_grains_starches_present,inggrp_legumes_soy_present,inggrp_nuts_seeds_present,inggrp_herbs_spices_seasonings_present,inggrp_oils_fats_present,inggrp_sweeteners_chocolate_present,inggrp_sauces_condiments_present,inggrp_baking_additives_present,inggrp_beverages_alcohol_broth_present,ing_all_purpose_flour,ing_baking_powder,ing_baking_soda,ing_beef,ing_black_pepper,ing_brown_sugar,ing_butter,ing_carrot,ing_cayenne_pepper,ing_celery,ing_cheddar_cheese,ing_chicken_broth,ing_chili_powder,ing_cilantro,ing_cinnamon,ing_clove,ing_confectioners_sugar,ing_cooking_spray,ing_cornstarch,ing_cumin,ing_dried_oregano,ing_egg,ing_freshly_black_pepper,ing_garlic,ing_garlic_powder,ing_ginger,ing_green_bell_pepper,ing_green_onion,ing_heavy_cream,ing_honey,ing_kosher_salt,ing_large_egg,ing_lemon_juice,ing_mayonnaise,ing_milk,ing_mozzarella_cheese,ing_nutmeg,ing_olive_oil,ing_onion,ing_onion_powder,ing_packed_brown_sugar,ing_paprika,ing_parmesan_cheese,ing_parsley,ing_pecan,ing_red_bell_pepper,ing_red_pepper_flake,ing_salt,ing_salt_and_black_pepper,ing_salt_and_freshly_black_pepper,ing_salt_and_pepper,ing_sour_cream,ing_soy_sauce,ing_unsalted_butter,ing_vanilla_extract,ing_vegetable_oil,ing_walnut,ing_water,ing_white_sugar,ing_worcestershire_sauce,src_diwali,src_apple_pie,src_butternut_squash_soups,src_cheese_balls,src_fettuccini,src_allrecipes_allstar_recipes,src_beef_stews,src_fajitas,src_omelets,src_canning_and_preserving,src_chicken_noodle_soups,src_chicken_teriyaki,src_chinese,src_chocolate_chip_cookies,src_deviled_eggs
6,0.6,0.6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,20.0,,20.0,3.044522437723423,,3.044522437723423,22,2,1,1,1,10.0,0.1,2.0,22.0,2000,8,17.0,18.0,2.0,5.472270673671475,2.8903717578961645,0.008438818565400843,0.0759493670886076,0.07172995780590717,23.7,248.0,5.517452896464707,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6666666666666666,0.4444444444444444,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,70.0,75.0,1.791759469228055,4.2626798770413155,4.330733340286331,23,3,2,1,1,4.5,0.2222222222222222,8.333333333333334,11.5,1999,10,25.0,31.0,27.0,6.175867270105761,3.258096538021482,0.05625,0.06458333333333334,0.052083333333333336,53.333333333333336,3511.0,8.163940954755008,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.75,0.375,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,35.0,25.0,180.0,3.58351893845611,3.258096538021482,5.198497031265826,18,5,5,1,0,1.6,0.625,22.5,3.6,2018,3,7.0,8.0,24.0,5.3612921657094255,2.0794415416798357,0.11320754716981132,0.03773584905660377,0.0330188679245283,26.5,125.0,4.836281906951478,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.0,0.4444444444444444,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,15.0,30.0,45.0,2.772588722239781,3.4339872044851463,3.828641396489095,11,3,4,1,0,2.25,0.4444444444444444,5.0,2.75,1999,4,8.0,15.0,26.0,5.6240175061873385,2.1972245773362196,0.09420289855072464,0.05434782608695652,0.028985507246376812,30.666666666666668,1372.0,7.224753405767971,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.75,0.4166666666666667,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,5.0,10.0,5.0,75.0,2.3978952727983707,1.791759469228055,4.330733340286331,26,5,5,1,1,2.4,0.4166666666666667,6.25,5.2,2020,6,11.0,10.0,21.0,5.424950017481403,2.4849066497880004,0.09292035398230089,0.04424778761061947,0.048672566371681415,18.833333333333332,226.0,5.424950017481403,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6,0.3,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,10.0,45.0,55.0,2.3978952727983707,3.828641396489095,4.02535169073515,26,3,1,2,0,10.0,0.1,5.5,26.0,2020,3,47.0,16.0,25.0,6.063785208687608,3.871201010907891,0.05827505827505827,0.037296037296037296,0.10955710955710955,42.9,314.0,5.752572638825633,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.875,0.375,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,30.0,60.0,90.0,3.4339872044851463,4.110873864173311,4.51085950651685,15,5,4,1,0,2.0,0.5,11.25,3.75,1999,6,40.0,0.0,5.0,5.19295685089021,3.713572066704308,0.027932960893854747,0.0,0.22346368715083798,22.375,61.0,4.127134385045092,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10.0,,10.0,2.3978952727983707,,2.3978952727983707,25,2,1,1,1,7.0,0.14285714285714285,1.4285714285714286,25.0,2019,9,3.0,0.0,1.0,2.6390573296152584,1.3862943611198906,0.07692307692307693,0.0,0.23076923076923078,1.8571428571428572,47.0,3.871201010907891,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30.0,40.0,70.0,3.4339872044851463,3.713572066704308,4.2626798770413155,27,3,4,1,1,1.5,0.6666666666666666,11.666666666666666,6.75,1998,7,52.0,16.0,3.0,5.883322388488279,3.970291913552122,0.008379888268156424,0.0446927374301676,0.1452513966480447,59.666666666666664,1158.0,7.055312843339752,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4666666666666667,0.4,2.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,30.0,45.0,75.0,3.4339872044851463,3.828641396489095,4.330733340286331,33,3,4,1,1,3.75,0.26666666666666666,5.0,8.25,2020,6,40.0,23.0,30.0,6.159095388491933,3.713572066704308,0.0635593220338983,0.048728813559322036,0.0847457627118644,31.466666666666665,211.0,5.356586274672012,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
